名称,数量,地位,级别,生命值,攻击力,防御力,法术抗性,攻击间隔,重量等级,移动速度,攻击范围半径,目标价值
猎狗pro,12,普通,0,1700,260,0,20.0,1.4,0,1.9,—,1
狂暴的猎狗pro,47,普通,0,3000,370,0,20.0,1.4,0,1.9,—,1
轻甲卫兵,11,普通,0,2500,250,400,0.0,2.0,1,1.0,—,1
重装防御者,2,精英,0,6000,600,800,0.0,2.6,3,0.75,—,1
高阶术师组长,3,精英,0,13500,380,160,50.0,3.8,1,0.7,2.2,1
源石虫·β,64,普通,0,1550,240,0,0.0,1.7,0,1.0,—,1
弩手组长,12,普通,0,1900,310,150,0.0,2.4,1,0.9,1.9,1
伐木机,8,精英,0,8000,750,80,30.0,3.3,3,0.75,—,1
妖怪,10,普通,1,1870,0,50,0.0,2.3,0,0.9,—,1
妖怪MKII,15,普通,0,2050,280,50,0.0,3.0,0,0.9,2.0,1
暴鸰,5,精英,0,3000,800,150,30.0,5.0,1,0.6,2.0,1
轻甲卫兵,33,普通,0,2500,250,400,0.0,2.0,1,1.0,—,1
寻仇者,4,精英,0,5000,300,200,50.0,2.3,2,0.65,—,1
复仇者,2,精英,0,18000,480,230,50.0,2.3,2,0.65,—,1
武装人员,5,精英,0,12000,1050,700,30.0,3.5,3,0.65,—,1
重装防御者,8,精英,0,6000,600,800,0.0,2.6,3,0.75,—,1
隐形术师组长,7,普通,0,4200,400,130,50.0,4.0,1,0.8,2.0,1
源石虫·α,10,普通,0,1050,185,0,0.0,1.7,0,1.0,—,1
源石虫·β,14,普通,0,1550,240,0,0.0,1.7,0,1.0,—,1
酸液源石虫,26,普通,0,2080,180,80,0.0,3.0,0,1.0,1.8,1
酸液源石虫·α,18,普通,0,2780,290,0,0.0,3.3,0,1.0,1.75,1
狂暴的猎狗pro,10,普通,0,3000,370,0,20.0,1.4,0,1.9,—,1
猎狗pro,6,普通,0,1700,260,0,20.0,1.4,0,1.9,—,1
高能源石虫,8,普通,0,2460,260,0,0.0,1.7,0,1.0,—,1
磐蟹,3,普通,0,3000,300,500,85.0,2.3,1,0.75,—,1
狂暴宿主投掷手,3,精英,0,15000,750,200,30.0,2.0,2,0.7,2.6,1
狂暴宿主士兵,7,精英,0,20000,1000,200,30.0,1.3,2,1.2,—,1
狂暴宿主组长,2,精英,0,30000,1750,230,30.0,1.3,2,1.2,—,1
狂暴宿主掷骨手,2,精英,0,22000,1050,220,30.0,2.0,2,0.7,2.6,1
潜伏者,25,普通,0,2200,300,90,20.0,2.0,1,1.0,—,1
隐形弩手,9,普通,0,1800,260,100,20.0,2.7,1,0.9,2.2,1
工蚁,6,普通,0,2300,100,120,40.0,1.0,1,1.2,—,1
重装防御者-N型,2,精英,0,10000,700,800,0.0,2.6,3,0.75,—,1
狂徒,7,精英,0,9000,700,500,0.0,5.0,2,0.8,1.3,1
欺凌者,3,精英,0,16000,800,800,20.0,3.5,4,1.2,—,1
打手,2,普通,0,3200,290,250,0.0,0.4,1,0.95,—,1
西西里人,16,普通,0,2700,250,100,10.0,2.0,1,1.0,—,1
射手,12,普通,0,3000,180,150,0.0,3.0,1,1.0,1.7,1
猎狗pro,6,普通,0,1700,260,0,20.0,1.4,0,1.9,—,1
